0,1,2,3,4,5,6,7,8
类别年份,主营业务收入 （亿元),累计增长 （%),利润总额 （亿元),累计增长 （%),主营业务税金及附加 （亿元),累计增长 （%),应交增值税 （亿元),累计增长 （%)
202409,--,--,3359.8,-1.2,--,--,--,--
202408,--,--,3035.9,3,--,--,--,--
202407,--,--,2730.6,6.7,--,--,--,--
202406,--,--,2377,10.7,--,--,--,--
202405,--,--,2046.7,17.9,--,--,--,--
202404,--,--,1427.9,29,--,--,--,--
202403,--,--,1039.5,32,--,--,--,--
202402,--,--,586.9,50.1,--,--,--,--
202312,--,--,5086.3,5.9,--,--,--,--
202311,--,--,4489.8,2.9,--,--,--,--
202310,--,--,3946.4,0.5,--,--,--,--
202309,--,--,3459.9,0.1,--,--,--,--
202308,--,--,3035.9,2.4,--,--,--,--
202307,--,--,2583.1,1,--,--,--,--
202306,--,--,2176.3,10.1,--,--,--,--
202305,--,--,1746.2,24.3,--,--,--,--
202304,--,--,1122.8,2.5,--,--,--,--
202303,--,--,819.4,-24.2,--,--,--,--
202302,--,--,414.3,-41.7,--,--,--,--
202212,--,--,5319.6,0.6,--,--,--,--
202211,--,--,4763,0.3,--,--,--,--
202210,--,--,4250.6,0.8,--,--,--,--
202209,--,--,3706.8,-1.9,--,--,--,--
202208,--,--,3162.8,-7.3,--,--,--,--
202207,--,--,2739.4,-14.4,--,--,--,--
202206,--,--,2129,-25.5,--,--,--,--
202205,--,--,1533.8,-37.5,--,--,--,--
202204,--,--,1182.8,-33.4,--,--,--,--
202203,--,--,1149.8,-11.9,--,--,--,--
202202,--,--,741.4,-9.9,--,--,--,--
202112,--,--,5305.7,1.9,--,--,--,--
202111,--,--,4763.1,-3.4,--,--,--,--
202110,--,--,4233.7,-2.9,--,--,--,--
202109,--,--,3799.7,1.2,--,--,--,--
202108,--,--,3438.3,5.5,--,--,--,--
202107,--,--,3221.1,19.7,--,--,--,--
202106,--,--,2876.8,45.2,--,--,--,--
202105,--,--,2474.5,81.1,--,--,--,--
202104,--,--,1799.6,157.5,--,--,--,--
202103,--,--,1320.8,843.4,--,--,--,--
202102,--,--,832.3,2525.6,--,--,--,--
202012,--,--,5093.6,4,--,--,--,--
202011,--,--,4781.1,7.2,--,--,--,--
202010,--,--,4211.5,6.6,--,--,--,--
202009,--,--,3607.1,3,--,--,--,--
202008,--,--,3084.8,1.5,--,--,--,--
202007,--,--,2514.5,-5.9,--,--,--,--
202006,--,--,1904.2,-20.7,--,--,--,--
202005,--,--,1193.5,-33.5,--,--,--,--
202004,--,--,680.8,-52.1,--,--,--,--
202003,--,--,209.4,-80.2,--,--,--,--
202002,--,--,100.2,-79.6,--,--,--,--
201912,--,--,5086.8,-15.9,--,--,--,--
201911,--,--,4615.9,-13.9,--,--,--,--
201910,--,--,4161.7,-14.7,--,--,--,--
201909,--,--,3734.6,-16.6,--,--,--,--
201908,--,--,3236.9,-19,--,--,--,--
201907,--,--,2822.4,-23.2,--,--,--,--
201906,--,--,2480.3,-24.9,--,--,--,--
201905,--,--,1881.6,-27.2,--,--,--,--
201904,--,--,1480.1,-25.9,--,--,--,--
201903,--,--,1095.8,-25,--,--,--,--
201902,--,--,512.3,-42,--,--,--,--
201812,80484.6,2.9,6091.3,-4.7,--,--,--,--
201811,73603.9,4.7,5453.2,-6,--,--,--,--
201810,66419.2,5.7,4958.4,-5.4,--,--,--,--
201809,59881.3,7.2,4517.6,-3.8,--,--,--,--
201808,53141,8.8,4048.2,-2.1,--,--,--,--
201807,47072.5,9.6,3730.3,1.6,--,--,--,--
201806,40930.7,10.6,3359.9,4.9,--,--,--,--
201805,34100.7,11.1,2639,0.5,--,--,--,--
201804,27216.4,10.3,2048.2,-0.6,--,--,--,--
201803,20153,7.9,1505.1,-4.7,--,--,--,--
201802,12614.6,6.1,917.3,-1.8,--,--,--,--
201712,85333.3,10.8,6832.9,5.8,--,--,--,--
201711,77131.8,10.8,6158.4,6.1,--,--,--,--
201710,69957.2,11.6,5622.1,8.8,--,--,--,--
201709,62408.7,11.9,5029.1,10.3,--,--,--,--
201708,54765.7,11.8,4478.3,11.7,--,--,--,--
201707,47936.9,11.8,3966.1,11.9,--,--,--,--
201706,41283.1,12,3450.2,11.7,--,--,--,--
201705,33852.2,12.1,2808,10,--,--,--,--
201704,27032.2,12.6,2204.9,11.8,--,--,--,--
201703,20333.7,14.8,1684.7,19,--,--,--,--
201702,12704.1,15.8,990.1,19.2,--,--,--,--
201612,80185.8,14.1,6677.4,10.8,--,--,--,--
201611,71455.4,14,5947.1,12.7,--,--,--,--
201610,63323.8,13.9,5224.19,13.9,--,--,--,--
201609,56106.9,13.6,4605,13,--,--,--,--
201608,48808.8,12.3,4013.2,11,--,--,--,--
201607,42734.6,11.3,3566.4,8,--,--,--,--
201606,36759.5,10.1,3104,6.5,--,--,--,--
201605,30113.3,9.3,2569.5,8.9,--,--,--,--
201604,23974.7,9,1984.9,7.4,--,--,--,--
201603,17725.8,9.2,1447.5,8.6,--,--,--,--
201602,10947.4,7.8,835,4.8,--,--,--,--
201512,70156.9,4.8,6071.3,1.5,1436.3,0.5,2119.6,8.6
201511,62617.2,4.2,5295.7,0.6,1280.4,-0.5,1855.9,8.2
201510,55602,2.7,4607.5,-3.1,1127.9,-2.3,1603.6,5.9
201509,49326.9,2.2,4083.8,-4.4,991.3,-4.3,1360.2,1.7
201508,43455,2.3,3624.8,-4.5,870.9,-4.7,1165.5,-1.1
201507,38404.2,2.9,3313.7,-2.4,763.9,-5.2,1027.6,-1.8
201506,33322.1,3.8,2920,-2.1,675.7,-3.5,945.5,1.7
201505,27496.9,3.9,2368.7,-1.9,565.7,-2.5,791.5,1.2
201504,21851.8,4.5,1845,-0.5,452.2,-1.7,639.6,2.7
201503,16171.6,4.8,1331.2,-1,339,-1.1,499.1,3.7
201502,10110.6,6.1,797.3,-5.4,214.4,-0.6,305.9,0.2
201412,66677,12.3,5991,18.1,1421.1,7.2,1947.6,8.3
201411,59685.9,12.3,5236.4,16.7,1278,8.1,1704.3,8.7
201410,53742.7,13.3,4726.9,19.6,1151.6,10,1504.5,9.2
201409,47928.1,13.5,4252.4,21,1028.8,11.1,1328.3,10.1
201408,42200,14.4,3779.9,22.6,908.7,13.1,1171,12.7
201407,37111.5,15.1,3390.1,26.7,800.5,15.4,1039.8,14.9
201406,31991.6,14.9,2982.2,29.1,696.5,16.2,924.9,15
201405,26338.2,15.2,2415.8,29.6,576.8,16.6,777,17.1
201404,20817.3,16.3,1849.3,28.7,457.2,16.4,619.7,15.3
201403,15326.4,17.3,1331.3,29.8,341.5,18.4,475.5,14.6
201402,9457.13,19.31,835.83,36.84,215.03,21.14,303.55,18.16
201312,60540,18.74,5107.74,25.04,1323.11,20.44,1799.35,29.4
201311,54313.84,17.84,4538.7,23.74,1181.33,20.85,1591.84,30.36
201310,48483.04,16.94,3970.82,22.35,1045.89,17.27,1389.72,28.91
201309,43169.06,15.91,3533.48,19.76,925.31,14.96,1217.35,27.64
201308,37757.46,14.98,3099.52,20.39,803.15,12.56,1046.21,24.4
201307,33016.44,15.5,2691.98,19.65,693.3,12.22,912.93,25.14
201306,28522.78,16.13,2327.13,20.2,599.38,14.23,811.59,28.05
201305,23281.91,15.77,1876.46,19.97,493.93,13.64,666.64,26.44
201304,18247.35,14.1,1437.23,12.86,392.6,14.66,542.18,23.24
201303,13247.56,11.84,1019.09,10.62,288.05,15.91,415.98,23.79
201302,8051.18,14.06,611.97,19.81,177.33,17.89,257.16,17.41
201212,50531.55,8.54,4065.28,5.61,1101.86,11.54,1383.49,7.17
201211,45715.01,8.26,3631.37,7.29,981.19,11.26,1217.26,11.7
201210,41057.24,8.88,3231.66,8.96,895.46,13.96,1074.4,11.82
201209,36929.51,9.55,2934.36,10.79,808.35,16.04,951.14,12.79
201208,32495.36,9.89,2561.88,10.84,716.61,18.46,839.97,15.1
201207,28266.52,9.31,2239.84,10.22,620.62,18.96,728.41,18.87
201206,24349.65,9.41,1930.5,9.99,527.7,18.8,632.08,23.41
201205,20027.4,8.81,1567.49,10.41,437.24,19.09,527.73,22.9
201204,15934.01,7.02,1278.2,8.67,344.63,13.99,441.02,20.8
201203,11790.51,7.93,927.51,6.3,250.33,9.12,334.41,11.97
201202,7032.92,3.99,513.41,-6.51,150.87,6.11,217.46,14.27
